Brand Name,Generic Name,Number of Manufacturers,Year,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2021-2022),Annual Growth Rate in Average Spending Per Dosage Unit (2018-2022)
Everolimus,Everolimus,6,2019,548085.01,1248,42,42,439.81,13049.64,13049.64,0,,
Evista,Raloxifene HCl,1,2019,2306540.88,359344,6072,1333,6.42,379.87,1730.34,0,,
Evotaz,Atazanavir Sulfate/Cobicistat,1,2019,23420219.17,427277,13700,1760,54.81,1709.51,13306.94,0,,
Evoxac,Cevimeline HCl,2,2019,1313564.45,182866,1385,287,7.18,948.42,4576.88,0,,
Exelon,Rivastigmine,1,2019,72453108.41,3126943,95086,17598,23.17,761.97,4117.12,0,,
Exemestane,Exemestane,10,2019,62824352.18,10745325,205037,46049,5.85,306.4,1364.29,0,,
Exforge,Amlodipine Besylate/Valsartan,1,2019,4591677.74,433503,7974,1580,10.63,575.83,2906.13,0,,
Exforge HCT,Amlodipine/Valsartan/HCThiazid,1,2019,1098737.3,104897,1948,478,10.42,564.03,2298.61,0,,
Exjade,Deferasirox,1,2019,37880000.85,259792,3430,834,146.71,11043.73,45419.67,0,,
Exondys-51,Eteplirsen,1,2019,11913307.6,14290,219,11,833.02,54398.66,1083027.96,0,,
Extavia,Interferon Beta-1b,1,2019,14720256.07,37925,2473,369,388.14,5952.39,39892.29,0,,
Eylea,Aflibercept,1,2019,21894515.31,570,8766,2246,38404.69,2497.66,9748.23,0,,
Ezallor Sprinkle,Rosuvastatin Calcium,1,2019,37794.54,12087,581,162,3.13,65.05,233.3,0,,
Ezetimibe,Ezetimibe,15,2019,258390447.2,245507996,3831740,977249,1.06,67.43,264.41,0,,
Ezetimibe-Simvastatin,Ezetimibe/Simvastatin,7,2019,62092020.8,17961632,260887,65128,3.46,238,953.38,0,,
Fabior,Tazarotene,1,2019,145343.92,13350,212,122,10.89,685.58,1191.34,0,,
Fabrazyme,Agalsidase Beta,1,2019,28063492.43,10686,1678,91,3441.43,16724.37,308390.03,1,,
Falmina,Levonorgestrel/Ethin.Estradiol,1,2019,72384.86,124068,2990,641,0.58,24.21,112.92,0,,
Famciclovir,Famciclovir,8,2019,8033900,6257847,150083,78569,1.38,53.53,102.25,0,,
Famotidine,"Famotidine In NaCl,Iso-Osm/PF",1,2019,1541.93,13726,86,48,0.11,17.93,32.12,0,,
Famotidine,Famotidine/PF,4,2019,45212.12,82666,5482,1167,0.55,8.25,38.74,0,,
Famotidine*,Famotidine,27,2019,74708272.88,416742733,6036000,1919087,0.18,12.38,38.93,0,,
Fanapt,Iloperidone,1,2019,76638973.31,2683360,55902,5702,28.18,1370.95,13440.72,0,,
Fareston,Toremifene Citrate,1,2019,1597327.96,36094,1003,203,44.25,1592.55,7868.61,0,,
Farxiga,Dapagliflozin Propanediol,1,2019,508113445.7,31019548,642707,140280,16.38,790.58,3622.14,0,,
Fasenra,Benralizumab,1,2019,37095414.78,7494,7444,1982,4950.02,4983.26,18716.15,0,,
Fasenra Pen,Benralizumab,1,2019,373213.42,74,72,57,5043.42,5183.52,6547.6,0,,
Faslodex,Fulvestrant,1,2019,7179328.41,36120,3348,621,198.76,2144.36,11560.92,0,,
Febuxostat,Febuxostat,9,2019,70467542.58,9504544,182641,74834,7.41,385.83,941.65,0,,
Felbamate,Felbamate,10,2019,14291019.09,4928423,24436,2614,3.19,584.83,5467.11,0,,
Felbatol,Felbamate,1,2019,9599022.22,837978,3803,430,12.73,2524.07,22323.31,0,,
Feldene,Piroxicam,1,2019,81707.91,6997,105,37,11.59,778.17,2208.32,0,,
Felodipine ER,Felodipine,11,2019,17437833.97,30193118,427591,96914,0.58,40.78,179.93,0,,
Femara,Letrozole,1,2019,2377228.11,103193,2267,436,23.04,1048.62,5452.36,0,,
Femhrt,Norethindrone Ac-Eth Estradiol,1,2019,207969.38,37408,659,158,5.56,315.58,1316.26,0,,
Femring,Estradiol Acetate,1,2019,3502019.06,7251,7183,3049,482.9,487.54,1148.58,0,,
Femynor,Norgestimate-Ethinyl Estradiol,1,2019,90215.84,179706,3531,962,0.5,25.55,93.78,0,,
Fenofibrate,Fenofibrate,17,2019,113452953.5,143748889,2174089,514407,0.81,52.18,220.55,0,,
Fenofibrate,Fenofibrate Nanocrystallized,13,2019,92020704.11,101738794,1693013,409104,0.9,54.35,224.93,0,,
Fenofibrate,"Fenofibrate,Micronized",16,2019,38343042.96,36524468,608027,137521,1.06,63.06,278.82,0,,
Fenofibric Acid,Fenofibric Acid (Choline),10,2019,34401408.03,14649920,228930,54782,2.35,150.27,627.97,0,,
Fenoglide,Fenofibrate,1,2019,27076.74,793,17,11,33.66,1592.75,2461.52,1,,
Fenoprofen Calcium,Fenoprofen Calcium,2,2019,981253.5,350001,3953,1627,2.82,248.23,603.11,0,,
Fentanyl,Fentanyl,5,2019,155239084.3,16297436,1638566,212104,9.48,94.74,731.9,0,,
Fentanyl Citrate,Fentanyl Citrate,3,2019,3211768.66,184546,1650,254,17.22,1946.53,12644.76,1,,
Fentanyl Citrate*,Fentanyl Citrate/PF,2,2019,54866.69,84239,4913,4402,1.3,11.17,12.46,0,,
Fentora,Fentanyl Citrate,1,2019,7606021.79,71050,645,81,104.33,11792.28,93901.5,0,,
Fetzima,Levomilnacipran HCl,1,2019,31590371.73,2376003,62995,9151,13.3,501.47,3452.12,0,,
Fiasp,Insulin Aspart (Niacinamide),1,2019,6115308.79,212158,6125,2031,28.82,998.42,3010.98,0,,
Fiasp Flextouch,Insulin Aspart (Niacinamide),1,2019,17900764.66,479037,20833,6867,37.37,859.25,2606.78,0,,
Fiasp Penfill,Insulin Aspart (Niacinamide),1,2019,15689.21,444,24,17,35.34,653.72,922.89,1,,
Finacea,Azelaic Acid,1,2019,1591658.45,229235,4229,5665,6.94,376.37,280.96,0,,
Finasteride,Finasteride,12,2019,122563118.5,415858240,6404309,1493541,0.3,19.14,82.06,0,,
Fioricet,Butalb/Acetaminophen/Caffeine,1,2019,1066872.67,214205,2311,481,4.98,461.65,2218.03,0,,
Fioricet With Codeine,Butalbit/Acetamin/Caff/Codeine,1,2019,302821.86,28746,355,98,10.53,853.02,3090.02,0,,
Firazyr,Icatibant Acetate,1,2019,132945822.8,35148,2505,660,3782.46,53072.18,201433.06,0,,
Firdapse,Amifampridine Phosphate,1,2019,59859319.81,337053,1702,224,177.6,35169.99,267229.11,0,,
Firmagon,Degarelix Acetate,1,2019,1012419.65,1852,1654,368,525.37,612.1,2751.14,0,,
Firvanq,Vancomycin HCl,2,2019,3919092.14,5034060,24593,14485,0.79,159.36,270.56,0,,
Flac Otic Oil,Fluocinolone Acetonide Oil,1,2019,28869.94,4880,242,157,5.92,119.3,183.88,0,,
Flarex,Fluorometholone Acetate,2,2019,761371.02,42100,7669,4807,18.08,99.28,158.39,0,,
Flavoxate HCl,Flavoxate HCl,2,2019,856028.92,938095,10694,3645,0.91,80.05,234.85,0,,
Flebogamma Dif,Imm Glob G (IgG)/Sorb/IgA 0-50,1,2019,979157.16,162050,228,42,6.36,4294.55,23313.27,0,,
Flecainide Acetate,Flecainide Acetate,6,2019,71194004.32,120367358,992760,226604,0.6,71.71,314.18,0,,
Flector,Diclofenac Epolamine,2,2019,18102436.39,1449636,27428,10381,12.49,660,1743.8,0,,
Flolipid,Simvastatin,1,2019,8002.43,4600,25,17,1.74,320.1,470.73,1,,
Flomax,Tamsulosin HCl,1,2019,1211247.5,166315,2179,2106,7.28,555.87,575.14,0,,
Flovent Diskus,Fluticasone Propionate,1,2019,43880505.28,12223602,154181,44993,3.59,284.6,975.27,0,,
Flovent HFA,Fluticasone Propionate,1,2019,422968390.8,17386705,1148299,367884,24.15,368.34,1149.73,0,,
Fluconazole,Fluconazole,15,2019,41027400.28,21899368,3065879,1732615,2.66,13.38,23.68,0,,
Fluconazole-NaCl,"Fluconazole In NaCl,Iso-Osm",6,2019,95196.48,1498435,1901,687,0.07,50.08,138.57,0,,
Flucytosine,Flucytosine,5,2019,2138008.86,27211,218,161,77.86,9807.38,13279.56,1,,
Fludrocortisone Acetate,Fludrocortisone Acetate,6,2019,12776819.91,27202825,459469,104177,0.47,27.81,122.65,0,,
Flumazenil,Flumazenil,4,2019,26536.45,13471,2581,2473,1.96,10.28,10.73,0,,
Flunisolide,Flunisolide,2,2019,6606424.52,2982575,89834,33556,2.22,73.54,196.88,0,,
Fluocinolone Acetonide,Fluocinolone Acetonide,15,2019,16381342.2,12281444,132109,79053,1.37,124,207.22,0,,
Fluocinolone Acetonide,Fluocinolone/Shower Cap,6,2019,5744914.46,6330108,50155,29403,0.91,114.54,195.39,0,,
Fluocinolone Acetonide Oil,Fluocinolone Acetonide Oil,5,2019,8115417.37,1535319,74500,53780,5.29,108.93,150.9,0,,
Fluocinonide,Fluocinonide,22,2019,73267517.63,52098378,805580,446689,1.27,90.95,164.02,0,,
Fluocinonide-E,Fluocinonide/Emollient Base,3,2019,1279233.24,787091,14190,9011,1.63,90.15,141.96,0,,
Fluoride,Fluoride (Sodium),1,2019,8699.43,84665,1243,312,0.1,7,27.88,0,,
Fluorometholone,Fluorometholone,1,2019,27009124.99,2144381,330185,164404,12.6,81.8,164.29,0,,
Fluorouracil*,Fluorouracil,10,2019,54236105.69,18718864,462714,402038,3,117.21,134.9,0,,
Fluoxetine Dr,Fluoxetine HCl,1,2019,1572647.87,54260,7711,1374,28.98,203.95,1144.58,0,,
Fluoxetine HCl,Fluoxetine HCl,29,2019,102202689.2,461902189,6842727,1327399,0.24,14.94,76.99,0,,
Fluphenazine Decanoate,Fluphenazine Decanoate,6,2019,9863352.78,458637,89109,14673,21.53,110.69,672.21,0,,
Fluphenazine HCl*,Fluphenazine HCl,12,2019,69165707.02,14043416,216974,32119,5.21,318.77,2153.42,0,,
Flurandrenolide,Flurandrenolide,3,2019,5124717.35,1722555,7710,3883,3.06,664.68,1319.78,0,,
Flurazepam HCl,Flurazepam HCl,1,2019,293365.07,457421,13637,5196,0.65,21.51,56.46,0,,
Flurbiprofen,Flurbiprofen,1,2019,716731.46,1486032,18639,9954,0.48,38.45,72,0,,
Flurbiprofen Sodium,Flurbiprofen Sodium,1,2019,498900.09,47468,14894,7597,10.51,33.5,65.67,0,,
Flutamide,Flutamide,2,2019,611431.92,670881,4157,1008,0.91,147.08,606.58,0,,
Fluticasone Propionate*,Fluticasone Propionate,11,2019,181294911.6,267662796,11811237,4696130,0.68,15.35,38.61,0,,
Fluticasone-Salmeterol,Fluticasone Propion/Salmeterol,3,2019,156455299.4,45012989,678448,250036,15.87,230.61,625.73,1,,
Fluvastatin ER,Fluvastatin Sodium,3,2019,5790195.98,1197789,17750,4421,4.84,326.21,1309.7,0,,
Fluvastatin Sodium,Fluvastatin Sodium,2,2019,2785315.5,857150,13408,5040,3.25,207.74,552.64,0,,
Fluvoxamine Maleate,Fluvoxamine Maleate,3,2019,13465641.25,21509793,337787,44633,0.63,39.86,301.7,0,,
Fluvoxamine Maleate ER,Fluvoxamine Maleate,2,2019,7137686.67,955796,17530,2913,7.48,407.17,2450.29,0,,
Fml,Fluorometholone,1,2019,247286.76,8940,1378,950,27.66,179.45,260.3,0,,
Fml Forte,Fluorometholone,1,2019,1696336.45,54280,8481,4422,31.25,200.02,383.61,0,,
Fml S.O.P.,Fluorometholone,1,2019,10418.8,231,63,46,45.1,165.38,226.5,0,,
Focalin,Dexmethylphenidate HCl,1,2019,64417.3,53544,558,117,1.18,115.44,550.58,0,,
Focalin XR,Dexmethylphenidate HCl,1,2019,1110794.79,84698,2159,491,13.11,514.5,2262.31,0,,
Folic Acid*,Folic Acid,14,2019,696119.59,12939719,235212,56017,0.05,2.96,12.43,0,,
Folivane-Ob,Mvn-Min 74/Iron Fum/Iron/FA,1,2019,5344.75,7824,125,52,0.68,42.76,102.78,0,,
Fondaparinux Sodium,Fondaparinux Sodium,5,2019,24364252.38,250921,17284,4179,95.46,1409.64,5830.16,0,,
Forfivo XL,Bupropion HCl,1,2019,1122072.91,77107,2063,497,14.55,543.9,2257.69,0,,
Forteo,Teriparatide,1,2019,546536237.1,379388,142040,24665,1440.57,3847.76,22158.37,0,,
Fortesta,Testosterone,1,2019,189817.06,27720,291,81,6.85,652.29,2343.42,0,,
Fosamax,Alendronate Sodium,2,2019,641186.36,20778,2823,809,30.86,227.13,792.57,0,,
Fosamax Plus D,Alendronate Sodium/Vitamin D3,2,2019,930280.34,21754,3445,1065,42.77,270.04,873.5,0,,
Fosamprenavir Calcium,Fosamprenavir Calcium,2,2019,5533028.3,359622,4460,595,15.39,1240.59,9299.21,0,,
Fosaprepitant Dimeglumine,Fosaprepitant Dimeglumine,16,2019,75482.09,309,187,94,243.86,403.65,803,0,,
Fosinopril Sodium,Fosinopril Sodium,5,2019,6669117.72,23611458,289415,67728,0.28,23.04,98.47,0,,
Fosinopril-Hydrochlorothiazide,Fosinopril/Hydrochlorothiazide,4,2019,1380988.6,1542123,17727,4366,0.9,77.9,316.31,0,,
Fosrenol,Lanthanum Carbonate,1,2019,6886103.88,565280,3874,1253,12.18,1777.52,5495.69,0,,
Fragmin,"Dalteparin Sodium,Porcine",1,2019,4067143.56,24463,1417,313,183.78,2870.25,12994.07,0,,
Frova,Frovatriptan Succinate,1,2019,995161.66,11169,577,116,89.1,1724.72,8578.98,0,,
Frovatriptan Succinate,Frovatriptan Succinate,4,2019,4130227.39,127083,9102,2249,32.51,453.77,1836.47,0,,
Fulphila,PEGfilgrastim-Jmdb,1,2019,2855545.92,401,583,193,7128.17,4898.02,14795.57,0,,
Fulvestrant,Fulvestrant,18,2019,1359812.01,8790,818,290,154.73,1662.36,4689.01,0,,
Furosemide*,Furosemide,26,2019,155086461.5,1556400204,25828906,5654449,0.1,6,27.43,0,,
Fusion Plus,"Iron,Fm,Ps/Folic/B,C18/L.Casei",1,2019,5040.03,5435,108,30,0.93,46.67,168,0,,
Fuzeon,Enfuvirtide,1,2019,3460648.94,55980,911,116,61.82,3798.74,29833.18,0,,
Fyavolv,Norethindrone Ac-Eth Estradiol,1,2019,894943.57,461161,7611,2271,1.94,117.59,394.07,0,,
Fycompa,Perampanel,1,2019,43094132.85,1803947,42484,5106,29.23,1014.36,8439.9,0,,
Gabapentin,Gabapentin,36,2019,640221933.8,3909796937,31390300,6412139,0.16,20.4,99.85,0,,
Gabitril,Tiagabine HCl,1,2019,2573828.62,230767,2280,311,12.01,1128.87,8275.98,0,,
Galafold,Migalastat HCl,1,2019,10054574,5572,393,45,1804.48,25584.16,223434.98,0,,
Galantamine ER,Galantamine HBr,4,2019,16415804.79,6099802,138876,23565,2.69,118.2,696.62,0,,
Galantamine HBr,Galantamine HBr,4,2019,6820051.73,4971657,70135,16661,1.37,97.24,409.34,0,,
Galantamine Hydrobromide,Galantamine HBr,1,2019,309109.93,110519,823,176,2.8,375.59,1756.31,0,,
Gamastan,Immune Globul G (IgG)/Glycine,1,2019,263232.81,5563,894,142,47.32,294.44,1853.75,0,,
Gammagard Liquid,Immun Glob G(IgG)/Gly/IgA Ov50,1,2019,370949017.3,27092983,39353,4285,13.69,9426.19,86569.2,0,,
Gammagard S-D,Immun Glob G/Gly/Gluc/IgA 0-50,1,2019,7510673.58,4928,861,102,1492.74,8723.2,73634.05,0,,
Gammaked,Immune Globul G/Gly/IgA Avg 46,1,2019,86833965.04,6536690,7794,1178,13.29,11141.13,73713.04,0,,
Gammaplex,Immun Glob G(IgG)/Gly/IgA 0-50,1,2019,104398185.6,6239023,8743,1042,16.73,11940.77,100190.2,0,,
Gammaplex,Immun Glob G/Sorb/Gly/IgA 0-50,1,2019,9736772.65,1167800,1089,129,8.34,8941.02,75478.86,0,,
Gamunex-C,Immune Globul G/Gly/IgA Avg 46,1,2019,339717613.3,29937388,45500,4424,11.33,7466.32,76789.7,0,,
Ganciclovir Sodium,Ganciclovir Sodium,4,2019,64778.89,27763,135,46,9.41,479.84,1408.24,1,,
Gardasil 9,HPv Vaccine 9-Valent/PF,1,2019,589763.14,1208,2328,1467,488.21,253.33,402.02,0,,
Gastrocrom,Cromolyn Sodium,1,2019,550248.79,280160,202,39,1.96,2724,14108.94,0,,
Gatifloxacin,Gatifloxacin,4,2019,6582935.68,228952,77791,53533,28.72,84.62,122.97,0,,
Gattex,Teduglutide,1,2019,277391826.4,6902,6354,912,40190.06,43656.25,304157.7,0,,
Gauze Bandage,Gauze Bandage,2,2019,307.5,2365,65,50,0.13,4.73,6.15,0,,
Gauze Pad,Gauze Bandage,1,2019,174.47,1372,26,23,0.13,6.71,7.59,1,,
Gauze Pads,Gauze Bandage,3,2019,2156.4,15295,282,207,0.14,7.65,10.42,0,,
Gavilyte-C,"PEG3350/Sod Sulf,Bicarb,Cl/KCl",1,2019,5121935.57,864959819,212251,200437,0.01,24.13,25.55,0,,
Gavilyte-G,"PEG3350/Sod Sulf,Bicarb,Cl/KCl",1,2019,6907808.33,2053874553,505423,478998,0,13.67,14.42,0,,
Gavilyte-N,Sodium Chloride/NaHCO3/KCl/PEG,1,2019,3126037.74,798659502,197278,190290,0,15.85,16.43,0,,
Gazyva,Obinutuzumab,1,2019,1752530.93,10520,156,42,166.59,11234.17,41726.93,0,,
Gelnique,Oxybutynin Chloride,1,2019,1985145.66,154358,3097,801,12.87,640.99,2478.33,0,,
Gemcitabine HCl,Gemcitabine HCl,10,2019,336814.52,32497,1686,562,56.17,199.77,599.31,1,,
Gemfibrozil,Gemfibrozil,12,2019,26080331.94,129413641,1179061,280662,0.2,22.12,92.92,0,,
Generess Fe,Noreth-Ethinyl Estradiol/Iron,1,2019,10956.56,1988,41,11,5.51,267.23,996.05,0,,
Generlac,Lactulose,1,2019,3147739.39,128232075,117413,45925,0.02,26.81,68.54,0,,
Gengraf,"Cyclosporine, Modified",1,2019,1458238.88,1223745,6594,1458,1.48,221.15,1000.16,0,,
Genotropin,Somatropin,1,2019,17872607.11,170190,7472,1046,327.71,2391.94,17086.62,0,,
Gentak,Gentamicin Sulfate,1,2019,91764.04,11848,3225,2967,7.75,28.45,30.93,0,,
Gentamicin Sulfate In Ns,"Gentamicin In NaCl, Iso-Osm",1,2019,33169.37,653240,1288,521,0.05,25.75,63.66,0,,
Gentamicin Sulfate*,Gentamicin Sulfate,11,2019,19304197.52,20143569,417540,275433,1.81,46.23,70.09,0,,
Gentamicin Sulfate*,Gentamicin Sulfate/PF,1,2019,30426.01,201997,381,116,0.15,79.86,262.29,0,,
Genvoya,Elviteg/Cob/Emtri/Tenof Alafen,1,2019,797201273.2,7659958,241764,27955,104.07,3297.44,28517.31,0,,
Geodon,Ziprasidone HCl,2,2019,9822386.08,444605,6765,771,22.1,1451.94,12739.8,0,,
Geodon,Ziprasidone Mesylate,1,2019,703848.62,15083,3424,1618,46.67,205.56,435.01,1,,
Gilenya,Fingolimod HCl,1,2019,468266684,1669751,51764,5846,280.44,9046.18,80100.36,0,,
Gilotrif,Afatinib Dimaleate,1,2019,54054071.04,178768,6008,1136,302.37,8997.02,47582.81,0,,
Glassia,Alpha-1-Proteinase Inhibitor,1,2019,50140457.28,88864212,4763,450,0.56,10527.07,111423.24,0,,
Glatiramer Acetate,Glatiramer Acetate,1,2019,232049077.1,895635,61661,8396,281.73,3763.3,27638.05,0,,
Glatopa,Glatiramer Acetate,1,2019,61108124.71,420666,16196,2422,161.97,3773.04,25230.44,0,,
Gleevec,Imatinib Mesylate,1,2019,170260101.1,824655,16316,2306,260.06,10435.16,73833.52,0,,
Glimepiride,Glimepiride,11,2019,75712297.95,528452947,5508022,1369875,0.14,13.75,55.27,0,,
Glipizide,Glipizide,8,2019,45723728.57,623421437,5044826,1217811,0.07,9.06,37.55,0,,
Glipizide ER,Glipizide,7,2019,64920348.78,242808587,2710072,682065,0.27,23.96,95.18,0,,
Glipizide XL,Glipizide,1,2019,6689255.59,27818890,351248,126756,0.24,19.04,52.77,0,,
Glipizide-Metformin,Glipizide/Metformin HCl,3,2019,24049583.64,54861757,306724,73217,0.44,78.41,328.47,0,,
Glucagen,Glucagon,2,2019,20575533.74,68853,59897,33201,298.82,343.52,619.73,0,,
Glucagon Emergency Kit,Glucagon,2,2019,35721686.66,123233,95797,59643,289.87,372.89,598.93,0,,
Glucotrol XL,Glipizide,1,2019,967219.13,420414,4558,1014,2.32,212.2,953.87,0,,
Glumetza,Metformin HCl,1,2019,46632697.81,662348,5722,1290,75.25,8149.72,36149.38,0,,
Glyburide,Glyburide,6,2019,6131222.78,34355949,261699,81139,0.18,23.43,75.56,0,,
Glyburide Micronized,"Glyburide,Micronized",1,2019,92214.75,677048,5809,3915,0.14,15.87,23.55,0,,
Glyburide-Metformin HCl,Glyburide/Metformin HCl,3,2019,1848338.92,15798800,87478,24177,0.12,21.13,76.45,0,,
Glycate,Glycopyrrolate,1,2019,85876.22,16984,210,111,5.06,408.93,773.66,0,,
Glycopyrrolate*,Glycopyrrolate,23,2019,9947363.36,16963762,217834,47902,0.6,45.66,207.66,0,,
Glydo,Lidocaine HCl,1,2019,120642.96,180294,2773,1449,0.67,43.51,83.26,0,,
Glynase,"Glyburide,Micronized",1,2019,24082.35,8330,61,14,3,394.79,1720.17,0,,
Glyxambi,Empagliflozin/Linagliptin,1,2019,54326319.24,2980632,61913,14077,18.23,877.46,3859.23,0,,
Gocovri,Amantadine HCl,1,2019,42856321.91,990791,16902,2753,43.26,2535.58,15567.13,0,,
Golytely,"PEG3350/Sod Sulf,Bicarb,Cl/KCl",1,2019,330589.37,51710316,17420,15910,4.06,18.98,20.78,0,,
Gralise,Gabapentin,2,2019,23673267.2,2566899,26931,5576,9.22,879.03,4245.56,0,,
Granisetron HCl,Granisetron HCl/PF,2,2019,26587.02,1991,461,122,13.15,57.67,217.93,0,,
Granisetron HCl*,Granisetron HCl,6,2019,426696.41,72264,3467,2141,8.72,123.07,199.3,1,,
Granix,Tbo-Filgrastim,1,2019,4936057.31,8895,2053,853,557.12,2404.31,5786.7,0,,
Griseofulvin,"Griseofulvin, Microsize",6,2019,1192332.51,507040,5630,3509,5.39,211.78,339.79,0,,
Griseofulvin Ultramicrosize,Griseofulvin Ultramicrosize,5,2019,935842.39,226757,4115,2575,4.17,227.42,363.43,0,,
Guanfacine HCl,Guanfacine HCl,6,2019,2883478.88,5330577,82275,17913,0.55,35.05,160.97,0,,
Guanfacine HCl ER,Guanfacine HCl,7,2019,3894595.41,2069780,52041,8828,1.89,74.84,441.16,0,,
Gvoke PFS 1-Pack Syringe,Glucagon,1,2019,29055.44,22,57,47,1333.21,509.74,618.2,0,,
Gvoke PFS 2-Pack Syringe,Glucagon,1,2019,31796.92,22,54,39,1458.57,588.83,815.31,0,,
Gynazole 1,Butoconazole Nitrate,1,2019,70070.91,3332,464,310,21.03,151.01,226.04,0,,
Haegarda,C1 Esterase Inhibitor,1,2019,63585462.53,25683,1955,188,2502.43,32524.53,338220.55,0,,
Hailey 24 Fe,Norethindrone-E.Estradiol-Iron,1,2019,12576.51,10080,196,59,1.25,64.17,213.16,0,,
Halaven,Eribulin Mesylate,1,2019,1302534.39,2216,183,43,587.79,7117.67,30291.5,0,,
Halcinonide,Halcinonide,2,2019,287007.16,31050,305,237,9.24,941.01,1211,0,,
Halcion,Triazolam,1,2019,132960.8,24287,558,130,5.47,238.28,1022.78,0,,
Haldol Decanoate 100,Haloperidol Decanoate,1,2019,58583.59,360,204,64,162.73,287.17,915.37,0,,
Haldol Decanoate 50,Haloperidol Decanoate,1,2019,9911.13,116,64,39,85.44,154.86,254.13,0,,
Halobetasol Propionate,Halobetasol Propionate,9,2019,31233743.06,14123371,245082,114875,2.2,127.44,271.89,0,,
Halog,Halcinonide,1,2019,872854.12,68070,869,535,12.82,1004.44,1631.5,0,,
Haloperidol,Haloperidol,11,2019,29801679.28,40328373,778924,130566,0.74,38.26,228.25,0,,
Haloperidol Decanoate,Haloperidol Decanoate,11,2019,15905033.38,421373,241457,32851,37.07,65.87,484.16,0,,
Haloperidol Decanoate 100,Haloperidol Decanoate,1,2019,6700616.31,150123,89990,15744,44.63,74.46,425.6,0,,
Haloperidol Lactate*,Haloperidol Lactate,10,2019,2867510.22,8029733,147655,52016,0.85,19.42,55.13,0,,
Harvoni,Ledipasvir/Sofosbuvir,1,2019,744736836.1,646822,23000,9727,1151.38,32379.86,76563.88,0,,
Havrix,Hepatitis A Virus Vaccine/PF,1,2019,12920845.86,146426,146900,129947,88.32,87.96,99.43,0,,
Healthwise Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,2019,963.61,3900,29,15,0.25,33.23,64.24,1,,
Healthwise Pen Needle,"Pen Needle, Diabetic",1,2019,1447.65,4500,39,19,0.32,37.12,76.19,1,,
Healthy Accents Unifine Pentip,"Pen Needle, Diabetic",1,2019,211090.13,987331,7053,2704,0.21,29.93,78.07,0,,
Heather,Norethindrone,1,2019,130562.84,216526,4716,1451,0.6,27.69,89.98,0,,
Heparin Sodium,"Heparin Sodium,Porcine",12,2019,4522013.17,1988646,79975,20640,2.34,56.54,219.09,0,,
Heparin Sodium In 0.45% NaCl,"Heparin Sod,Pork In 0.45% NaCl",1,2019,523.24,17251,12,11,0.03,43.6,47.57,1,,
Heparin Sodium*,"Heparin Sodium,Porcine/PF",5,2019,53122.18,10312,329,253,5.5,161.47,209.97,0,,
Hepsera,Adefovir Dipivoxil,1,2019,443989.45,8940,251,40,49.66,1768.88,11099.74,0,,
Herceptin,Trastuzumab,1,2019,15028324.96,9288,2581,370,1618.04,5822.68,40617.09,0,,
Hetlioz,Tasimelteon,1,2019,118599729.5,220020,6688,1124,539.04,17733.21,105515.77,0,,
Hiberix,Haemoph B Poly Conj-Tet Tox/PF,1,2019,5303.08,296,282,228,17.95,18.81,23.26,1,,
Hizentra,Immun Glob G(IgG)/Pro/IgA 0-50,1,2019,137133169.1,4054321,19823,1684,33.9,6917.88,81433,0,,
Horizant,Gabapentin Enacarbil,1,2019,26705425.64,2021706,34653,7425,13.21,770.65,3596.69,0,,
Humalog,Insulin Lispro,1,2019,549236374.5,20681482,1053989,246647,26.55,521.1,2226.81,0,,
Humalog Junior Kwikpen,Insulin Lispro,1,2019,4230470.67,121612,7355,2894,34.79,575.18,1461.81,0,,
Humalog Kwikpen U-100,Insulin Lispro,1,2019,1218056279,34931814,1595961,438874,34.87,763.21,2775.41,0,,
Humalog Kwikpen U-200,Insulin Lispro,1,2019,140213500.5,1976476,109155,29239,70.94,1284.54,4795.43,0,,
Humalog Mix 50-50,Insulin Lispro Protamin/Lispro,1,2019,11590408.23,401448,12573,2305,28.87,921.85,5028.38,0,,
Humalog Mix 50-50 Kwikpen,Insulin Lispro Protamin/Lispro,1,2019,26031916.33,736083,22265,4633,35.37,1169.19,5618.8,0,,
Humalog Mix 75-25,Insulin Lispro Protamin/Lispro,1,2019,101067295,3511860,122384,22820,28.78,825.82,4428.89,0,,
Humalog Mix 75-25 Kwikpen,Insulin Lispro Protamin/Lispro,1,2019,303665676.5,8582148,292855,58483,35.38,1036.91,5192.38,0,,
Humatrope,Somatropin,1,2019,6550664.18,6771,2243,378,1063.75,2920.49,17329.8,0,,
Humira,Adalimumab,1,2019,484881026,186404,74567,11858,2601.24,6502.62,40890.62,0,,
Humira Pen,Adalimumab,1,2019,1749371716,669360,267832,40058,2613.5,6531.6,43670.97,0,,
Humira Pen Crohn'S-Uc-Hs,Adalimumab,1,2019,13108459.17,4997,840,743,2623.06,15605.31,17642.61,0,,
Humira Pen Psor-Uveits-Adol Hs,Adalimumab,1,2019,19780376.41,7500,1860,1105,2637.38,10634.61,17900.79,0,,
Humira(Cf),Adalimumab,1,2019,175792474.7,66743,26325,5302,2633.89,6677.78,33155.88,0,,
